date,deaths_new,deaths_bid,deaths_new_dod,deaths_bid_dod,deaths_unvax,deaths_pvax,deaths_fvax,deaths_boost,deaths_tat,daily_partial,daily_full,daily_booster,daily_booster2,daily,daily_partial_adol,daily_full_adol,daily_booster_adol,daily_booster2_adol,daily_partial_child,daily_full_child,daily_booster_child,daily_booster2_child,cumul_partial,cumul_full,cumul_booster,cumul_booster2,cumul,cumul_partial_adol,cumul_full_adol,cumul_booster_adol,cumul_booster2_adol,cumul_partial_child,cumul_full_child,cumul_booster_child,cumul_booster2_child,pfizer1,pfizer2,pfizer3,pfizer4,sinovac1,sinovac2,sinovac3,sinovac4,astra1,astra2,astra3,astra4,sinopharm1,sinopharm2,sinopharm3,sinopharm4,cansino,cansino3,cansino4,pending1,pending2,pending3,pending4,cases_new,cases_import,cases_recovered,cases_active,cases_cluster,cases_unvax,cases_pvax,cases_fvax,cases_boost,cases_child,cases_adolescent,cases_adult,cases_elderly,cases_0_4,cases_5_11,cases_12_17,cases_18_29,cases_30_39,cases_40_49,cases_50_59,cases_60_69,cases_70_79,cases_80,cluster_import,cluster_religious,cluster_community,cluster_highRisk,cluster_education,cluster_detentionCentre,cluster_workplace
2021-10-20,76,14,64,17,27,7,30,0,3,31130,220939,17337,1,269407,18407,175809,0,0,100,871,0,0,25525598,23583251,51821,3,48989838,2493300,1199576,1,0,15146,7574,0,0,28483,204492,17309,1,2293,4859,21,0,84,10087,1,0,263,155,6,0,1302,0,0,7,44,0,0,5516,14,9401,83226,206,1396,369,3749,2,884,271,3590,741,386,498,271,1182,1133,711,564,447,218,76,,,,,,,
2021-12-25,25,4,23,3,6,2,15,0,2,529,1441,24337,90,26397,101,603,10,0,0,4,0,0,26017384,25638075,5433873,13891,56903808,2700699,2619081,1055,5,17308,12459,67,0,374,983,20227,64,126,301,2923,24,1,1,1159,1,28,63,24,0,93,1,1,0,0,3,0,3160,156,4420,45601,71,671,12,2264,213,447,135,2131,431,190,257,135,734,649,416,332,276,121,34,,,,,,,
2021-09-22,487,161,144,31,76,35,33,0,9,126918,214933,3,0,341854,85055,1418,0,0,563,22,0,0,22965688,19550213,210,0,42393068,496916,42148,0,0,4429,1049,0,0,118691,153936,0,0,8052,34245,3,0,44,21586,0,0,130,0,0,0,5136,0,0,1,30,0,0,14990,5,19702,201278,991,5290,2824,6876,0,2471,1264,9538,1523,994,1477,1264,3462,2884,1892,1300,968,405,150,,,,,,,
2022-01-06,19,4,16,2,7,0,9,0,3,3007,4892,250252,280,258431,1438,1860,158,0,20,9,5,0,26050738,25685633,7407889,17243,58959798,2714936,2637410,2089,13,17405,12522,123,0,2553,3749,211118,205,392,701,11662,28,25,43,27395,46,37,144,51,0,255,16,0,0,0,10,1,3543,364,3484,39785,111,777,18,2428,320,514,190,2387,443,197,317,190,823,765,434,365,296,114,33,,,,,,,
2021-08-29,285,51,245,69,153,56,36,0,4,155072,178292,0,0,333364,1169,443,0,0,28,11,0,0,19927896,14985535,0,0,34895258,47668,22385,0,0,1070,492,0,0,107369,80257,0,0,35022,73969,0,0,12655,16305,0,0,0,0,0,0,7745,0,0,26,16,0,0,20579,7,20845,268001,2595,10009,5648,4922,0,3025,1638,13696,1560,1207,1818,1638,5614,3929,2446,1707,991,416,153,,,,,,,
2021-07-31,165,12,312,85,194,103,15,0,3,336809,207752,0,0,544561,1020,336,0,0,35,3,0,0,14215405,6913982,0,0,21129365,21940,5766,0,0,395,173,0,0,170732,49441,0,0,151171,145371,0,0,14402,12917,0,0,0,0,0,0,1,0,0,504,22,0,0,17786,9,11718,189611,3046,12099,4440,1247,0,2646,1352,12260,1186,1042,1604,1352,4856,3690,2285,1429,781,292,113,,,,,,,
2021-09-04,362,104,228,47,142,57,29,0,5,148336,188515,6,0,336857,1884,571,0,0,41,28,0,0,20985855,16169039,19,0,37110044,58624,26072,0,0,1230,637,0,0,114817,46760,6,0,24209,115440,0,0,9287,18774,0,0,0,0,0,0,7527,0,0,23,14,0,0,19057,10,21582,256307,1760,8308,4536,6213,0,2842,1668,12309,1801,1145,1697,1668,4404,3706,2516,1683,1116,475,210,,,,,,,
2021-08-19,178,35,257,69,160,71,26,0,3,197407,352519,0,0,549926,875,731,0,0,28,16,0,0,18247664,12317858,0,0,30565465,36969,16389,0,0,822,326,0,0,37421,191259,0,0,141405,136076,0,0,18567,25113,0,0,0,0,0,0,3,0,0,14,68,0,0,22948,9,21720,255538,2343,12451,7175,3322,0,3035,1665,16065,1647,1254,1781,1665,6342,4770,3014,1939,1050,457,140,,,,,,,
2021-10-05,117,16,97,24,41,12,44,0,3,126115,109029,107,0,235251,105969,6230,0,0,389,29,0,0,24768310,21523851,526,0,46145261,1938323,133730,0,0,12444,1394,0,0,122286,62475,103,0,3571,17401,4,0,136,26945,0,0,119,0,0,0,2181,0,0,3,27,0,0,8817,14,15615,135949,619,2577,1078,5162,0,1344,681,5631,1047,544,800,681,2012,1694,1068,857,633,300,114,,,,,,,
2021-09-09,322,55,212,51,112,56,44,0,7,145683,208274,2,0,353959,12616,632,0,0,24,24,0,0,21723581,17170218,36,0,38830009,84566,29366,0,0,1358,771,0,0,118030,42655,0,0,23736,139576,2,0,3705,21911,0,0,0,0,0,0,4114,0,0,212,18,0,0,19307,6,24855,242808,1577,8020,4357,6930,0,2881,1597,12928,1704,1165,1716,1597,4988,3948,2393,1599,1067,459,178,,,,,,,
2021-12-27,35,6,28,4,13,0,12,3,4,3352,5479,124315,327,133473,1438,2228,43,0,5,6,3,0,26021872,25645120,5621558,14388,57103267,2702448,2621832,1109,5,17314,12469,71,0,2822,4356,103602,245,483,710,17608,68,4,75,3026,11,43,140,49,1,197,23,1,0,1,7,1,2757,147,4620,42923,88,587,15,1977,178,411,143,1854,343,148,263,143,627,597,327,303,214,103,26,,,,,,,
2021-11-16,40,7,46,7,11,3,32,0,3,6960,26942,91276,385,125563,2329,16081,8,0,14,43,0,0,25853233,25355962,1238085,4706,52262554,2644565,2509544,252,2,16575,11709,4,0,5777,21830,89806,380,1009,2656,1392,3,16,1687,36,0,155,257,38,1,502,0,0,3,10,4,1,5413,17,6013,65319,198,1333,85,3895,100,939,220,3508,699,363,576,220,1134,1069,696,609,445,181,73,,,,,,,
2021-12-08,28,4,37,7,14,2,21,0,2,4909,6974,118786,323,130992,1890,2305,22,0,25,14,0,0,25962353,25557092,3315158,10472,54649620,2681656,2591203,614,3,17059,12299,15,0,3957,5104,93999,235,825,1317,23229,88,0,85,1285,0,125,157,248,0,308,12,0,2,3,13,0,5020,17,4525,60880,154,1159,41,3677,143,768,223,3434,575,301,467,223,1148,1042,712,532,378,154,43,,,,,,,
2021-08-14,260,68,276,59,164,85,27,0,5,181767,290013,0,0,471780,798,910,0,0,24,13,0,0,17292799,10631612,0,0,27924366,32387,13073,0,0,674,262,0,0,40810,144523,0,0,115074,125025,0,0,25761,20430,0,0,0,0,0,0,0,0,0,122,35,0,0,20670,8,17655,243945,2402,11427,6841,2402,0,2734,1467,14295,1551,1101,1633,1467,5463,4314,2681,1837,1020,382,149,,,,,,,
2021-07-24,184,32,299,59,191,94,14,0,3,296130,137719,0,0,433849,1051,196,0,0,15,2,0,0,11803827,5549747,0,0,17353559,15991,4135,0,0,270,157,0,0,148740,26970,0,0,129766,101545,0,0,17575,9142,0,0,0,0,0,0,0,0,0,49,62,0,0,15902,26,9471,153634,2922,11668,3454,780,0,2007,962,11395,1257,807,1200,962,4504,3450,2004,1437,854,315,88,,,,,,,
2021-11-18,55,9,35,6,13,2,20,0,2,7402,21850,99210,318,128780,2596,11483,13,1,27,60,0,0,25867751,25399394,1431848,5334,52514269,2649321,2533008,275,3,16632,11811,4,0,6120,18174,97407,298,1069,2543,1716,18,9,497,33,1,198,254,36,1,373,0,0,6,9,18,0,6380,28,5760,67361,247,1533,72,4650,125,1054,241,4253,832,407,647,241,1367,1360,861,665,496,259,77,,,,,,,
2021-09-13,413,176,181,43,115,34,32,0,6,78666,173631,2,0,252299,5414,730,0,0,24,23,0,0,22127583,17898999,182,0,39938894,145173,32227,0,0,1453,862,0,0,61390,97516,2,0,16109,50703,0,0,1089,21302,0,0,0,0,0,0,4105,0,0,78,5,0,0,16073,21,24813,228127,1547,6303,3366,6404,0,2498,1391,10332,1562,992,1506,1391,3967,3070,1977,1318,965,425,172,,,,,,,
2021-08-02,219,21,375,96,224,136,15,0,3,237175,252423,0,0,489598,731,348,0,0,13,2,0,0,14763348,7352137,0,0,22115461,23320,6381,0,0,429,176,0,0,157361,71497,0,0,75758,167794,0,0,4044,13031,0,0,0,0,0,0,0,0,0,12,101,0,0,15764,6,11767,199053,2625,10315,4317,1132,0,2216,1130,10783,1072,871,1345,1130,4296,3295,1896,1296,723,256,93,,,,,,,
2022-01-01,26,3,26,6,12,0,14,0,3,544,911,40906,131,42492,158,276,38,3,1,1,2,0,26036603,25666356,6373645,15820,57891803,2708668,2630073,1433,9,17334,12492,100,0,397,571,27309,85,108,228,2630,9,14,0,10949,37,24,44,15,0,68,0,0,1,0,3,0,3386,346,3547,41040,211,769,16,2292,309,493,151,2296,405,195,298,151,779,734,462,321,263,108,34,,,,,,,
2021-11-05,47,4,58,5,20,5,32,1,3,5903,32046,48466,163,86578,1775,18193,28,0,32,136,0,0,25779457,25045273,556931,2116,51198747,2620906,2311982,126,0,16218,11025,1,0,4432,25856,47953,159,1257,3414,446,4,0,2407,0,0,212,187,50,0,175,0,0,2,7,17,0,4922,10,5579,66243,154,1198,115,3564,45,824,173,3215,677,342,482,173,1087,1014,633,481,421,191,65,,,,,,,
2021-09-28,240,71,105,21,50,20,35,0,4,174013,170779,9,0,344801,142929,1766,0,0,680,29,0,0,23831601,20582762,240,0,44280300,1151560,51444,0,0,9179,1208,0,0,168617,121753,8,0,4983,22675,1,0,355,23699,0,0,57,0,0,0,2599,0,0,1,53,0,0,11332,23,14160,174496,715,3799,1632,5901,0,1870,995,7107,1279,739,1131,995,2532,2180,1379,1016,786,355,138,,,,,,,
2021-09-08,361,102,247,64,148,49,50,0,8,138829,213457,7,0,352293,7228,619,0,0,20,20,0,0,21573784,16961944,34,0,38476050,71919,28734,0,0,1334,747,0,0,110763,38133,0,0,24303,151463,7,0,3563,21588,0,0,0,0,0,0,2231,0,0,200,42,0,0,19733,3,22701,248678,2095,8191,4525,7017,0,2978,1593,13019,1856,1175,1803,1593,4981,3885,2512,1641,1131,545,180,,,,,,,
2021-11-11,49,14,49,6,20,1,27,1,4,9026,45458,94817,324,149625,3724,29082,16,1,61,67,0,0,25822785,25237773,927474,3499,51804259,2635417,2435988,194,1,16446,11412,2,0,7479,39364,93889,317,1353,3276,881,7,0,1849,1,0,194,311,39,0,627,0,0,0,31,7,0,6323,25,5337,63830,135,1598,123,4534,68,1099,245,4147,770,409,690,245,1329,1359,839,620,492,204,74,,,,,,,
2021-11-27,40,8,46,9,19,1,25,1,2,2642,5650,48565,124,56981,757,2184,12,0,16,16,1,0,25911720,25481637,2217127,7460,53426799,2663421,2566247,394,3,16835,12110,7,0,1820,3775,42194,89,603,1631,6185,34,120,43,85,0,99,176,98,1,25,0,0,0,0,3,0,5097,17,5352,67253,165,1237,52,3697,111,817,212,3409,631,315,502,212,1064,1093,684,568,399,174,58,,,,,,,
2021-09-19,376,75,159,46,88,29,42,0,6,66684,172598,1,0,239283,29326,1029,0,0,376,22,0,0,22598060,18975125,200,0,41461822,271566,38192,0,0,2944,993,0,0,58076,110399,1,0,8425,38521,0,0,155,20549,0,0,28,0,0,0,3122,0,0,0,7,0,0,14954,11,23469,210472,1216,5555,2925,6474,0,2353,1233,9644,1467,945,1408,1233,3501,2938,1846,1359,898,428,141,,,,,,,
2021-08-13,277,96,263,32,159,82,22,0,6,186163,311620,0,0,497783,934,502,0,0,31,11,0,0,17111032,10341599,0,0,27452586,31589,12163,0,0,650,249,0,0,55443,145014,0,0,105204,142322,0,0,25492,24118,0,0,0,0,0,0,2,0,0,24,164,0,0,21468,25,17025,241190,2692,11824,7219,2425,0,2674,1433,14673,1593,1020,1654,1433,5632,4431,2754,1856,1017,397,179,,,,,,,
2022-01-07,16,2,13,2,6,0,7,0,2,2800,3700,215488,281,222269,1425,1245,202,0,19,18,1,0,26053729,25689333,7623377,17524,59182067,2716362,2638655,2291,13,17424,12540,124,0,2253,2731,174994,171,476,646,12292,56,14,40,28138,53,57,90,57,0,191,0,0,0,2,7,1,3381,319,3447,39703,72,743,17,2230,391,556,177,2249,383,213,343,177,761,705,447,336,245,96,42,,,,,,,
2021-09-18,324,70,167,30,97,33,37,0,4,79130,176454,1,0,255585,31224,1316,0,0,421,31,0,0,22528254,18802527,199,0,41222539,242218,37163,0,0,2568,971,0,0,68341,104315,0,0,10060,48762,1,0,695,18803,0,0,32,0,0,0,4563,0,0,2,11,0,0,15549,5,17205,219363,1251,5572,3270,6707,0,2429,1321,9981,1595,954,1475,1321,3678,2992,1914,1397,952,462,181,,,,,,,
2021-09-20,301,92,147,26,62,51,34,0,12,101572,211569,2,0,313143,56341,1452,0,0,501,19,0,0,22702225,19186694,202,0,41774965,327921,39644,0,0,3445,1012,0,0,91309,149944,0,0,9991,36591,2,0,166,22417,0,0,104,0,0,0,2593,0,0,2,24,0,0,14345,43,16814,207702,1157,5148,2655,6542,0,2321,1244,9073,1500,882,1439,1244,3360,2724,1715,1274,928,424,148,,,,,,,
2021-08-15,282,101,289,67,166,104,19,0,4,158706,282059,0,0,440765,682,683,0,0,32,8,0,0,17451506,10913671,0,0,28365131,33069,13756,0,0,706,270,0,0,35457,130615,0,0,103977,130118,0,0,18915,21290,0,0,0,0,0,0,1,0,0,357,35,0,0,20546,14,16945,247264,2600,11189,6863,2494,0,2963,1507,14238,1370,1138,1825,1507,5525,4319,2742,1652,912,334,124,,,,,,,
2021-07-27,207,31,276,74,201,63,12,0,3,366816,206056,0,0,572872,816,201,0,0,11,2,0,0,12806279,6076790,0,0,18883054,18362,4689,0,0,305,167,0,0,214350,38741,0,0,134001,154290,0,0,18364,13000,0,0,0,0,0,0,0,0,0,101,25,0,0,16117,26,11526,170226,2958,11652,3539,926,0,2152,1148,11432,1105,889,1263,1148,4411,3464,2168,1389,753,279,73,,,,,,,
2021-08-25,265,69,235,52,159,51,25,0,5,176913,275724,0,0,452637,1070,612,0,0,22,15,0,0,19258160,14110400,0,0,33368489,42533,20287,0,0,955,440,0,0,111391,189503,0,0,55336,63182,0,0,10174,23023,0,0,0,0,0,0,0,0,0,12,16,0,0,22642,5,20798,264296,2499,11183,6946,4513,0,3221,1767,15003,1791,1263,1958,1767,5756,4472,3020,1755,1117,475,199,,,,,,,
2021-11-28,29,6,38,9,11,3,24,0,3,2185,3838,37880,68,43971,652,1170,9,0,4,11,1,0,25914134,25485475,2255007,7528,53470770,2664074,2567417,403,3,16839,12121,8,0,1726,2494,34053,53,379,960,3518,13,0,37,190,1,80,110,119,1,229,0,0,0,8,0,0,4239,12,5007,66456,88,1030,32,3085,92,722,155,2818,524,272,450,155,932,840,564,482,334,143,47,,,,,,,
2021-10-13,68,12,80,12,38,8,34,0,2,53300,162686,2220,0,218206,38819,78925,0,0,184,409,0,0,25323408,22512460,3731,0,47678300,2369029,460811,0,0,14376,3625,0,0,50280,115776,2203,0,2745,10467,17,0,52,34758,0,0,220,136,0,0,1517,0,0,3,32,0,0,7950,29,10832,106050,500,2166,782,5002,0,1277,495,5006,1026,555,722,495,1730,1551,982,743,580,289,157,,,,,,,
2021-12-09,41,6,29,6,9,1,18,1,2,5012,8420,132898,373,146703,1966,2833,28,1,37,15,3,0,25967835,25565512,3448056,10845,54796323,2683622,2594036,642,4,17096,12314,18,0,4143,6289,105453,294,757,1290,26296,72,0,146,1016,7,112,216,118,0,470,4,0,0,9,11,0,5446,20,5427,60858,367,1208,53,4032,153,840,282,3724,574,335,505,282,1300,1251,688,485,367,161,46,,,,,,,
2021-10-27,98,32,66,11,29,3,34,0,3,19727,128670,28294,9,176700,11143,101478,2,0,65,257,0,0,25687881,24528904,181729,20,50218716,2583032,1943592,7,0,15736,9770,0,0,17373,117259,28238,9,1971,5941,40,0,5,3906,12,0,368,193,4,0,1323,0,0,10,48,0,0,6148,21,7595,71716,200,1616,309,4205,18,1082,271,3940,809,459,623,271,1266,1312,787,575,499,222,88,,,,,,,
2021-11-01,63,18,57,11,14,4,39,0,3,9730,58475,44714,224,113143,3895,40803,11,0,40,110,1,0,25750398,24889072,363496,1306,50820919,2611578,2211591,34,0,16091,10599,1,0,7765,50672,44535,223,1666,3451,156,0,4,3583,0,0,293,208,15,1,547,0,0,2,14,8,0,4626,6,5299,67236,144,1186,159,3257,24,818,151,2976,646,306,512,151,988,943,607,438,384,179,83,,,,,,,
2021-08-22,232,43,303,73,189,73,41,0,4,150818,314962,0,0,465780,818,551,0,0,22,24,0,0,18747797,13301146,0,0,32048873,39570,18504,0,0,896,398,0,0,75525,154544,0,0,66669,141107,0,0,8596,19257,0,0,0,0,0,0,2,0,0,28,52,0,0,19807,5,18200,262259,2177,10485,5896,3426,0,2918,1565,13288,1508,1144,1774,1565,5188,4015,2449,1636,945,400,163,,,,,,,
2021-11-12,41,8,48,12,17,3,28,0,3,7758,35139,76223,265,119385,2437,23185,10,0,39,51,0,0,25830848,25272912,1003697,3764,51923644,2637854,2459173,204,1,16485,11463,2,0,6087,30100,75115,255,1244,2861,1066,10,1,1600,0,0,425,264,41,0,305,0,0,1,9,1,0,6517,16,6026,64280,240,1564,105,4781,67,1093,246,4288,823,404,689,246,1427,1410,815,636,511,235,77,,,,,,,
2021-10-19,69,11,84,19,42,4,38,0,3,15212,123564,1411,1,140188,8429,95463,1,0,43,369,0,0,25493166,23362312,34484,2,48720431,2474882,1023767,1,0,15045,6703,0,0,13214,112486,1410,1,1801,2381,1,0,2,7646,0,0,193,36,0,0,989,0,0,2,26,0,0,5745,12,8933,87187,219,1620,405,3720,0,947,305,3725,711,390,557,305,1243,1174,717,591,414,210,87,,,,,,,
2021-09-29,208,64,124,28,57,15,52,0,4,197335,158585,6,0,355926,168016,6410,0,0,961,19,0,0,24030326,20741347,246,0,44636226,1319583,57854,0,0,10142,1227,0,0,191629,113363,1,0,4820,24204,5,0,764,19608,0,0,120,0,0,0,1390,0,0,2,20,0,0,12434,8,17000,169722,710,3975,1660,6799,0,1896,959,7983,1448,796,1100,959,2859,2444,1490,1190,877,420,151,,,,,,,
2021-12-21,57,5,29,8,7,1,21,0,3,3311,4800,164137,412,172660,1285,1832,32,0,12,9,6,0,26006927,25621738,4924838,12781,56367541,2696890,2612788,944,4,17270,12435,54,0,2777,3772,142421,340,453,729,19532,61,3,31,2139,11,78,87,40,0,176,1,0,0,5,4,0,3140,58,4277,51026,47,737,24,2216,163,501,152,2054,391,183,318,152,702,662,406,284,252,106,33,,,,,,,
2021-07-17,138,18,264,46,193,68,3,0,2,264820,132945,0,0,397765,988,233,0,0,7,0,0,0,9809772,4537132,0,0,14346889,11449,2759,0,0,211,126,0,0,97060,35303,0,0,148790,88020,0,0,18630,9443,0,0,0,0,0,0,0,0,0,340,179,0,0,12528,19,6629,119815,3206,10128,1917,483,0,1567,818,8698,818,674,893,818,3465,2670,1519,1044,540,195,83,,,,,,,
2021-11-25,48,10,50,10,21,1,27,1,3,6046,6471,131307,328,144152,1978,1993,10,0,26,26,0,0,25903902,25468878,2064020,7120,53252855,2661184,2561955,371,3,16801,12068,6,0,4739,4150,126522,301,760,1252,4539,24,402,757,121,2,145,191,118,1,121,0,0,0,0,7,0,6144,12,6602,68756,205,1485,59,4475,125,1028,245,4033,817,394,634,245,1338,1253,801,641,514,229,74,,,,,,,
2021-08-30,294,53,273,68,191,53,29,0,3,196526,196232,0,0,392758,1859,437,0,0,19,17,0,0,20128685,15181767,0,0,35288016,49559,22822,0,0,1094,509,0,0,152639,100708,0,0,32848,70295,0,0,11007,20951,0,0,0,0,0,0,4263,0,0,32,15,0,0,19268,16,21257,265718,2097,9325,5289,4654,0,2928,1597,12579,1650,1169,1759,1597,4929,3708,2380,1562,1048,427,175,,,,,,,
2022-01-04,31,9,16,7,8,0,7,1,3,2944,4297,239482,283,247006,1389,1578,150,0,14,10,5,0,26044357,25676379,6914147,16713,58450417,2712079,2633826,1749,12,17371,12508,113,0,2501,3322,207407,224,395,627,11587,39,9,26,20395,19,39,50,46,1,272,43,0,0,0,4,0,2842,332,2862,39688,33,673,13,1883,273,446,139,1875,368,154,292,139,625,555,377,318,222,109,37,,,,,,,
2021-12-17,18,1,44,7,11,1,32,0,3,3121,5189,157450,127,165887,978,1530,18,0,21,10,2,0,25996803,25607489,4470848,11601,55888891,2693482,2608003,845,4,17241,12411,40,0,2409,3783,133444,74,596,992,22232,47,23,73,1472,3,91,138,100,0,202,0,0,2,1,202,3,4362,28,5098,55477,208,963,46,3173,180,648,193,2976,490,266,382,193,1011,986,576,403,298,128,64,,,,,,,
2021-10-08,78,23,89,15,38,9,42,0,3,76036,108333,613,0,184982,62139,29879,0,0,248,276,0,0,25076670,21831688,1247,0,46755800,2190209,189873,0,0,13444,1907,0,0,71911,68792,608,0,3871,12385,5,0,26,25336,0,0,221,0,0,0,1772,0,0,7,48,0,0,9751,15,12724,126002,382,2938,1046,5767,0,1669,762,6038,1181,630,1039,762,2048,1960,1115,915,729,338,114,,,,,,,
2021-12-12,17,3,29,4,9,0,20,0,3,1505,2560,65747,92,69904,484,955,19,0,7,9,1,0,25975347,25578499,3700800,11064,55069187,2685838,2598745,704,4,17133,12350,27,0,1121,1666,50668,65,331,647,14310,26,2,19,676,1,51,73,47,0,153,6,0,0,2,40,0,3490,14,5399,58854,167,801,27,2530,132,522,143,2318,487,201,321,143,811,718,428,361,276,136,75,,,,,,,
2021-08-10,201,34,408,118,250,122,36,0,4,177247,202024,0,0,379271,1084,232,0,0,30,8,0,0,16460844,9420600,0,0,25881408,28968,10528,0,0,565,221,0,0,77106,69986,0,0,65573,113495,0,0,34551,18164,0,0,0,0,0,0,2,0,0,17,377,0,0,19991,0,16258,230765,2866,11444,6616,1931,0,2680,1456,13501,1458,1094,1586,1456,5230,3987,2572,1712,954,369,135,,,,,,,
